ID,PREC_ID,ENR_DESC,COUNTY_NAM,OF_PREC_ID,COUNTY_ID,SHAPE_LENG,STEIN,ROBINSON,TOTAL,LGDEM,LGREP,LGTOTAL,NCAGDEM,NCAGREP,NCAGTOTAL,NCAUDDEM,NCAUDREP,NCAUDTOTAL,NCAGCOMDEM,NCAGCOMREP,NCAGCOMTOT,NCINSDEM,NCINSREP,NCINSTOTAL,NCLABCOMDE,NCLABCOMRE,NCLABCOMTO,NCSOSDEM,NCSOSREP,NCSOSTOTAL,NCSUPTDEM,NCSUPTREP,NCSUPTTOTA,NCTRSDEM,NCTRSREP,NCTRSTOTAL,PRESDEM,PRESREP,PRESTOTAL
"1","0003",ALBEMARLE NUMBER 3,STANLY,,"84",40731.35077860000,"911","720","1728","810","875","1736","842","897","1739","763","901","1664","689","988","1677","734","982","1716","717","987","1704","838","882","1720","836","885","1721","755","962","1717","778","961","1760"
"2","0003",DREXEL 03,BURKE,,"12",49918.84903950000,"263","604","910","218","679","913","237","679","916","181","698","879","182","715","897","184","719","903","192","718","910","220","684","904","219","687","906","193","713","906","191","736","934"
"22","0019",LINVILLE 01,BURKE,,"12",160866.95280900001,"205","287","522","175","334","529","190","341","531","159","342","501","150","357","507","161","363","524","160","357","517","178","350","528","173","348","521","160","361","521","171","363","539"
"23","0019",RIDENHOUR,STANLY,,"84",125698.77885100000,"316","1009","1410","236","1149","1419","260","1161","1421","213","1167","1380","167","1223","1390","184","1230","1414","189","1211","1400","245","1171","1416","262","1156","1418","205","1201","1406","205","1223","1439"
"71","007","007",MECKLENBURG,,"60",17915.43697250000,"1195","307","1604","1110","446","1612","1188","430","1618","1064","479","1543","1053","492","1545","1066","535","1601","1069","536","1605","1133","476","1609","1134","474","1608","1059","542","1601","1111","481","1619"
"72","007",MT. CARMEL METHODIST CHURCH,UNION,,"90",125576.59808200000,"1297","1693","3138","1194","1836","3136","1223","1914","3137","1126","1885","3011","1081","1934","3015","1116","1970","3086","1091","1997","3088","1193","1924","3117","1170","1927","3097","1093","1997","3090","1137","2023","3194"
"73","007",SHOCCO,WARREN,,"93",154360.16988700000,"363","183","565","365","189","569","376","193","569","363","195","558","350","206","556","365","206","571","364","204","568","385","181","566","370","196","566","371","198","569","352","209","570"
"74","0070",SALEM,BURKE,,"12",67955.45729640000,"698","1225","2006","575","1396","2012","613","1402","2015","538","1408","1946","495","1457","1952","511","1483","1994","530","1454","1984","619","1382","2001","611","1387","1998","554","1440","1994","539","1487","2040"
"75","008",WINGATE COMMUNITY CENTER,UNION,,"90",73702.48443250000,"846","526","1438","816","565","1425","832","594","1426","806","573","1379","771","608","1379","819","599","1418","796","617","1413","842","585","1427","837","581","1418","813","598","1411","823","642","1479"
"25","002",MONROE MIDDLE SCHOOL,UNION,,"90",39298.76067870000,"689","339","1074","657","390","1075","668","402","1070","654","386","1040","629","407","1036","645","413","1058","635","424","1059","670","396","1066","648","410","1058","654","410","1064","655","428","1094"
"5","001",RIVER,WARREN,,"93",128209.67046700000,"454","418","922","377","530","929","398","534","932","345","562","907","310","607","917","336","592","928","343","584","927","417","517","934","397","528","925","352","575","927","348","570","934"
"36","0025",FURR NUMBER 2,STANLY,,"84",151352.77029399999,"691","2154","3020","533","2387","3016","585","2449","3034","494","2390","2884","441","2478","2919","496","2490","2986","463","2512","2975","556","2444","3000","545","2439","2984","486","2491","2977","490","2548","3069"
"37","0026",TYSON,STANLY,,"84",171841.83099399999,"348","961","1376","286","1060","1376","304","1075","1379","259","1072","1331","225","1121","1346","251","1108","1359","238","1123","1361","291","1080","1371","285","1076","1361","260","1100","1360","244","1135","1387"
"83","01",YORK CHESTER,GASTON,,"36",18348.73258870000,"581","287","934","527","363","934","573","364","937","512","382","894","493","409","902","517","407","924","492","429","921","540","390","930","539","392","931","504","425","929","524","412","953"
"84","01",DANBURY,STOKES,,"85",216051.71604400000,"197","442","670","154","495","675","172","501","673","133","512","645","123","541","664","135","540","675","133","538","671","167","512","679","170","504","674","136","535","671","132","549","686"
"85","01",ALLENDALE,HOKE,,"47",139582.01260600000,"152","96","307","134","108","258","148","154","302","121","158","279","149","151","300","130","159","289","154","134","288","144","152","296","95","193","288","124","171","295","144","154","311"
"6","001","001",MECKLENBURG,,"60",27386.13625900000,"1022","291","1379","858","518","1393","933","470","1403","752","582","1334","726","632","1358","755","618","1373","737","642","1379","881","504","1385","874","508","1382","718","661","1379","857","535","1400"
"44","003","003",MECKLENBURG,,"60",26655.29358100000,"1126","116","1305","1124","135","1299","1151","153","1304","1140","140","1280","1118","148","1266","1149","152","1301","1133","175","1308","1142","160","1302","1135","166","1301","1142","161","1303","1088","177","1301"
"45","0031",MORGANTON 01,BURKE,,"12",69989.12363839999,"987","369","1427","929","439","1421","959","450","1409","893","447","1340","868","495","1363","897","508","1405","882","503","1385","954","458","1412","938","469","1407","908","495","1403","922","512","1460"
"7","001",BENTON HEIGHTS CHURCH OF GOD,UNION,,"90",47977.47328730000,"394","150","576","390","159","571","395","170","565","387","154","541","367","173","540","380","177","557","377","183","560","401","169","570","389","178","567","380","180","560","389","192","584"
"9","0011",ICARD 01,BURKE,,"12",89433.77583870002,"552","1621","2288","457","1756","2289","509","1780","2289","428","1787","2215","394","1828","2222","415","1855","2270","415","1841","2256","459","1815","2274","465","1799","2264","413","1854","2267","419","1890","2325"
"10","0011",ALBEMARLE NUMBER 11,STANLY,,"84",50539.36264690000,"378","643","1078","314","733","1078","341","742","1083","301","733","1034","274","777","1051","292","777","1069","293","774","1067","327","745","1072","324","740","1064","302","767","1069","293","794","1096"
"11","0012",ICARD 02,BURKE,,"12",149637.70333600001,"242","1200","1501","207","1271","1512","207","1303","1510","177","1285","1462","151","1320","1471","183","1314","1497","171","1319","1490","191","1313","1504","212","1283","1495","180","1316","1496","173","1349","1532"
"12","0013",ICARD 03,BURKE,,"12",94205.81906500000,"456","1605","2178","394","1771","2201","420","1776","2196","356","1793","2149","332","1813","2145","361","1826","2187","355","1820","2175","381","1812","2193","394","1792","2186","363","1816","2179","350","1865","2228"
"57","0048",QUAKER MEADOWS 02,BURKE,,"12",133068.94311500000,"799","781","1668","686","933","1664","711","955","1666","640","954","1594","610","1000","1610","641","1018","1659","628","1005","1633","720","938","1658","724","929","1653","641","1010","1651","672","1011","1691"
"495","07",SCHOOL OF THE ARTS,DURHAM,,"32",23238.89529140000,"1910","96","2062","1875","135","2050","1905","152","2057","1837","153","1990","1788","208","1996","1859","173","2032","1842","194","2036","1891","147","2038","1892","148","2040","1824","208","2032","1875","159","2064"
"496","07","07",WAYNE,,"96",126611.38328900000,"1486","1833","3454","1289","2072","3451","1347","2110","3457","1229","2111","3340","1150","2227","3377","1227","2199","3426","1214","2187","3401","1366","2070","3436","1315","2102","3417","1240","2180","3420","1247","2237","3510"
"14","0014",EAST ALBEMARLE,STANLY,,"84",126452.95557799999,"256","579","881","211","656","889","218","666","884","176","678","854","163","702","865","177","705","882","171","703","874","204","677","881","205","675","880","172","706","878","178","711","899"
"15","0014",ICARD 04,BURKE,,"12",91570.17523040000,"302","1171","1541","239","1262","1540","257","1284","1541","217","1279","1496","190","1309","1499","214","1320","1534","208","1322","1530","237","1295","1532","250","1284","1534","209","1323","1532","209","1339","1556"
"16","0015",ICARD 05,BURKE,,"12",70568.94142370000,"302","713","1066","256","784","1065","260","802","1062","233","791","1024","219","811","1030","240","818","1058","222","825","1047","250","812","1062","233","816","1049","241","815","1056","237","833","1078"
"17","0015",BADIN,STANLY,,"84",128951.10965600000,"458","496","1015","394","595","1011","407","608","1015","363","599","962","335","649","984","355","642","997","357","630","987","392","615","1007","380","616","996","368","628","996","381","650","1038"
"18","0016",PALMERVILLE,STANLY,,"84",153029.18923600001,"324","640","1015","285","712","1022","295","731","1026","272","711","983","243","744","987","264","752","1016","265","739","1004","287","731","1018","303","712","1015","260","755","1015","263","770","1038"
"19","0017",NEW LONDON,STANLY,,"84",125080.54891400000,"409","1149","1635","331","1273","1643","342","1309","1651","297","1279","1576","263","1341","1604","282","1341","1623","286","1331","1617","328","1302","1630","345","1275","1620","295","1326","1621","301","1351","1660"
"20","0018",JONAS RIDGE,BURKE,,"12",121720.96841300000,"157","239","418","147","260","421","157","261","418","134","267","401","126","283","409","134","276","410","135","275","410","146","265","411","141","265","406","136","269","405","139","282","427"
"497","07",POPLAR,MITCHELL,,"61",145837.99872400000,"19","97","119","18","98","117","17","99","116","14","98","112","15","99","114","17","99","116","18","98","116","18","99","117","17","93","110","17","98","115","16","112","129"
